level,outcome,treat,spec,est,se,t,p,ci_lo,ci_hi,n,r2,controls
jolts,hires,initial,3,0.16371549451957707,0.11090341853895534,1.4761988104277528,0.17067195937683285,-0.05365520581677541,0.38108619485592954,14,0.2899645276090053,hires_pre_level + catchup
jolts,hires,postbreak,1,0.10214208307033217,0.11827017291444968,0.8636334973841316,0.4034424329554852,-0.1296674558419892,0.33395162198265355,15,0.07047060399256336,<e2><80><94>
jolts,hires,postbreak,2,0.06086535783653243,0.13975839245428223,0.43550413515555214,0.6709269947533661,-0.21306109137386073,0.33479180704692557,15,0.12570949871446263,hires_pre_level
jolts,hires,postbreak,3,0.09362853229763721,0.17325358608744018,0.5404132428773126,0.5996831240367932,-0.24594849643374553,0.43320556102901997,15,0.19942132949017874,hires_pre_level + catchup
jolts,hires,future,1,0.15337349899474914,0.09979727111954785,1.5368506300239608,0.14830570795018916,-0.04222915239956465,0.34897615038906293,15,0.15889097268309393,<e2><80><94>
jolts,hires,future,2,0.12651481120084818,0.11380490983819583,1.1116814852779453,0.28805171530492807,-0.09654281208201565,0.349572434483712,15,0.202175440976114,hires_pre_level
jolts,hires,future,3,0.1506394413504612,0.13003191074575132,1.1584805643977911,0.2712007760711763,-0.1042231037112114,0.4055019864121338,15,0.28632242791045437,hires_pre_level + catchup
jolts,quits,prebreak,1,-0.02999331113851172,0.04661303764673085,-0.6434532622787621,0.5311175481223975,-0.1213548649261042,0.06136824264908075,15,0.02197830361514309,<e2><80><94>
jolts,quits,prebreak,2,-0.06395946704332404,0.04841623861574586,-1.3210333737599196,0.21112718225899949,-0.15885529473018592,0.03093636064353783,15,0.2417351894599533,quits_pre_level
jolts,quits,prebreak,3,-0.053905707789298256,0.04590659494127099,-1.174247575065427,0.26509142905274535,-0.1438826338741894,0.03607121829559288,15,0.35982285827776556,quits_pre_level + catchup
jolts,quits,initial,1,-0.010951141003610481,0.04078541559843437,-0.26850629919855135,0.7928699207895107,-0.09089055557654185,0.06898827356932088,14,0.0030953906234738667,<e2><80><94>
jolts,quits,initial,2,-0.04210516923732021,0.042870188979992466,-0.9821549715344318,0.34713233622116446,-0.12613073963810545,0.04192040116346502,14,0.2243676217904339,quits_pre_level
jolts,quits,initial,3,-0.04489028795544975,0.048032584533427125,-0.9345798980317086,0.37202285526862755,-0.1390341536409669,0.049253577730067416,14,0.25390001275516005,quits_pre_level + catchup
jolts,quits,postbreak,1,-0.03831317312404484,0.049234289180214524,-0.7781806899619365,0.4503943536716858,-0.1348123799172653,0.05818603366917562,15,0.03586258471864569,<e2><80><94>
jolts,quits,postbreak,2,-0.09579463978969462,0.047411532034667817,-2.0204923924341562,0.0662274518047223,-0.18872124257764356,-0.0028680370017456908,15,0.32893224488704975,quits_pre_level
jolts,quits,postbreak,3,-0.08068286661627473,0.045124915064226494,-1.7879893292084528,0.10132454139646152,-0.16912770014215867,0.007761966909609189,15,0.41682847581438953,quits_pre_level + catchup
jolts,quits,future,1,-0.031211526067933558,0.04686472739273178,-0.6659918408652502,0.5170605492106017,-0.12306639175768785,0.06064333962182073,15,0.02379991196270383,<e2><80><94>
jolts,quits,future,2,-0.07098229709572824,0.0500730035343192,-1.4175761804877187,0.18175411584742202,-0.16912538402299387,0.027160789831537385,15,0.2588707725347031,quits_pre_level
jolts,quits,future,3,-0.059597433574974136,0.04735979269536293,-1.258397264496671,0.23430194455296355,-0.15242262725788547,0.0332277601079372,15,0.3708027630705194,quits_pre_level + catchup
jolts,layoffs,prebreak,1,0.23713466990884496,0.09906959080058222,2.3936171330935925,0.03247055332383124,0.04295827193970381,0.4313110678779861,15,0.42081125143153403,<e2><80><94>
jolts,layoffs,prebreak,2,0.23294809584914403,0.10365512435015584,2.2473379614328137,0.04420878629747566,0.029784052122838578,0.4361121395754495,15,0.42841197732313957,layoffs_pre_level
jolts,layoffs,prebreak,3,0.22733982605057196,0.11685757258858802,1.9454436799825614,0.07771822079197446,-0.001701016223060542,0.45638066832420443,15,0.4339695849965726,layoffs_pre_level + catchup
jolts,layoffs,initial,1,0.23782365334295308,0.10220890512177021,2.3268388704449325,0.03828937712380105,0.037494199304283465,0.4381531073816227,14,0.4167960570740478,<e2><80><94>
jolts,layoffs,initial,2,0.23389400298711865,0.1074122223677848,2.177536204271558,0.05208844132670452,0.02336604714626045,0.44442195882797686,14,0.4235280581941156,layoffs_pre_level
jolts,layoffs,initial,3,0.2342444965494834,0.11444136421330782,2.0468516620692667,0.06786496596774438,0.00993942269140008,0.4585495704075667,14,0.42386774366765956,layoffs_pre_level + catchup
jolts,layoffs,postbreak,1,0.17456112303044763,0.1281761559969971,1.3618845226918588,0.19636850755501792,-0.07666414272366673,0.425786388784562,15,0.22803015886601416,<e2><80><94>
jolts,layoffs,postbreak,2,0.1694977507530784,0.1375847622281518,1.2319514749170148,0.24156217298960941,-0.10016838321409913,0.4391638847202559,15,0.2309485527944107,layoffs_pre_level
jolts,layoffs,postbreak,3,0.16153496075166282,0.1630953867093646,0.9904324335029632,0.3432493335654978,-0.15813199719869178,0.48120191870201745,15,0.23534898975664206,layoffs_pre_level + catchup
jolts,layoffs,future,1,0.22708759703749348,0.10682660894320357,2.12575873449497,0.05325929766141999,0.01770744350881448,0.4364677505661725,15,0.3859082515695958,<e2><80><94>
jolts,layoffs,future,2,0.2229226755888984,0.11278764847467243,1.9764812779030307,0.07154252344936982,0.0018588845785404429,0.44398646659925634,15,0.390212565437406,layoffs_pre_level
jolts,layoffs,future,3,0.2173192912756241,0.1287742224186173,1.6875993284522879,0.11960425080362197,-0.035078184664865786,0.469716767216114,15,0.3944284198866839,layoffs_pre_level + catchup
