strata_value,title,emp,pretrend,catchup,hours,strata_type,prebreak,reads_prebreak,initial,reads_initial,postbreak,reads_postbreak,future,reads_future,z_prebreak,z_initial,z_postbreak,z_future,level
517,Telecommunications,-9.521552217563833,-4.174553013564832,-12.099754395348139,2.8232056661289917,subsector,10.805263157894737,38,7.811111111111112,9,25.347058823529412,17,14.439130434782609,46,0.7461924585382976,0.6518548835972956,0.8998872645471069,0.9041824914801684,subsector
518,"Data Processing, Hosting, and Related Services",-4.184858178238127,4.301420668548097,34.36721944463264,-2.48115902085555,subsector,25.616666666666667,54,19.53076923076923,13,50.95294117647059,17,32.62592592592593,54,3.384597766613321,3.1231874274870184,3.746350780347866,3.66057667642764,subsector
519,Other Information Services,-1.5755612235281546,7.227695857297576,8.944933713460923,2.1568298079026604,subsector,24.194444444444443,54,20.123076923076923,13,42.976470588235294,17,28.935185185185183,54,3.131252520961817,3.2480877668186676,2.859650911883398,3.101207307542359,subsector
522,Credit Intermediation and Related Activities,-2.087221910638437,0.18686510496060293,-2.133236305445241,-1.8741117055467882,subsector,7.048148148148148,54,4.6,13,23.141176470588235,17,11.059259259259258,54,0.07692487840026578,-0.0252743730679386,0.6546715929584818,0.3919285730468189,subsector
524,Insurance Carriers and Related Activities,-0.620388356999424,2.5565594666721125,6.165686625627487,-0.045517448139342775,subsector,6.751851851851852,54,5.015384615384615,13,26.54705882352941,17,11.555555555555555,54,0.02414461888953596,0.062318072697114354,1.0332845898913188,0.4671473341412771,subsector
531,Real Estate,-0.43616157636092723,3.309024597101917,7.881074072589378,-1.167016568043877,subsector,9.605555555555556,54,7.746153846153846,13,26.2,17,13.127777777777778,54,0.5324844933022534,0.6381572994858881,0.9947039908947084,0.7054336332800645,subsector
532,Rental and Leasing Services,-3.1282731931710828,1.5925297263534333,1.1476659027045422,-4.589177421713231,subsector,4.333333333333333,12,NA,NA,14.24375,16,5.51,30,-0.4066742493667971,NA,-0.334405818394237,-0.4491182161160668,subsector
533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),-5.312326355515173,-1.8423376663787927,-2.3014714440228623,NA,subsector,21.3,6,NA,NA,NA,NA,20.192307692307693,13,2.615655360866375,NA,NA,1.776135131258671,subsector
561,Administrative and Support Services,-3.1156683292712373,0.880864071248908,-1.1965286290148924,-2.094818721244174,subsector,5.983333333333333,54,4.3307692307692305,13,18.205882352941178,17,8.46111111111111,54,-0.11275417921641985,-0.08204725458232472,0.10604239705753166,-0.0018472546230498866,subsector
562,Waste Management and Remediation Services,4.639002477941556,3.957164137467757,10.477324826254275,6.36040346000275,subsector,5.033333333333333,12,NA,NA,9.871428571428572,14,5.72,20,-0.28198088627269763,NA,-0.8204524718247476,-0.4172905761604267,subsector
621,Ambulatory Health Care Services,6.774673442776802,2.818583778067989,10.838077623407827,4.327060881800016,subsector,7.053703703703704,54,4.953846153846154,13,21.841176470588234,17,10.27962962962963,54,0.07791450826609198,0.04934141406525472,0.5101578238355854,0.27376775804395753,subsector
623,Nursing and Residential Care Facilities,7.236724949117246,0.4077297033035876,-4.177963077425595,6.846818474851801,subsector,3.7363636363636363,22,NA,NA,13.064705882352941,17,4.526666666666666,45,-0.5130144767673926,NA,-0.46547359485835715,-0.5981524032099373,subsector
624,Social Assistance,12.54471790886278,4.288612220065744,13.015056108877232,10.411091977922204,subsector,5.892592592592593,54,3.3692307692307693,13,21.16470588235294,17,8.088888888888889,54,-0.12891813369158078,-0.2848075457051323,0.4349583512150738,-0.05826132544389346,subsector
711,"Performing Arts, Spectator Sports, and Related Industries",3.6041461216273163,2.5224926655939583,11.142835562015208,4.9997013680668445,subsector,7.37037037037037,54,5.2,13,19.729411764705883,17,9.724074074074075,54,0.1343234106181845,0.10124804859269347,0.2754046875680753,0.18956765234120584,subsector
712,"Museums, Historical Sites, and Similar Institutions",3.8427001636657465,2.1098137604944256,2.1955776361336277,5.361156896670138,subsector,8.282142857142857,28,4.8,5,23.2,17,9.512820512820513,39,0.29674052169294396,0.016899767485605423,0.6612106775341785,0.15755002240346708,subsector
713,"Amusement, Gambling, and Recreation Industries",5.228420527350597,2.3240753811048975,3.129329662172342,5.5734904387055195,subsector,4.307407407407407,54,3.0307692307692307,13,15.370588235294118,17,6.562962962962963,54,-0.41129252207398603,-0.3561791681803606,-0.20914147949104772,-0.28953094910745136,subsector
721,Accommodation,0.32920414380024354,1.7941601236867655,-8.013615376522143,0.6712636519820236,subsector,2.65,42,1.8444444444444446,9,9.170588235294117,17,3.9333333333333336,51,-0.7065320987121314,-0.6063403095834334,-0.8983609937694765,-0.6880781161004761,subsector
722,Food Services and Drinking Places,1.1354308855230144,1.5816171421746361,1.1940917664770012,1.0174402993888165,subsector,1.6722222222222223,54,1.3692307692307693,13,7.91764705882353,17,2.803703703703704,54,-0.88070695509754,-0.7065489512405722,-1.0376434952318154,-0.8592849976960711,subsector
811,Repair and Maintenance,0.49603670441662473,1.4174988224469942,8.391483968037505,2.0658373069673885,subsector,2.1166666666666667,54,1.4230769230769231,13,8.641176470588235,17,3.3207547169811322,53,-0.8015365658314452,-0.6951943749376949,-0.9572127549507464,-0.7809206477470574,subsector
812,Personal and Laundry Services,2.7516539832062037,1.9549737118611077,2.0784825956965847,0.23101292040301757,subsector,3.877777777777778,54,3.207692307692308,13,12.076470588235294,17,5.322222222222222,54,-0.4878238983645442,-0.3188712746137639,-0.5753302157300612,-0.4775778518435969,subsector
