ind,naics3,ambiguous,assignment,desc,naics_raw,note
6870,522,FALSE,manual-dominant,Banking and related activities,"521, 52211,52219",521 is the central bank and negligible in employment; 5221 and 5219 both sit inside 522
6880,522,FALSE,auto,"Savings institutions, including credit unions","52212, 52213",""
6890,522,FALSE,auto,Nondepository credit and related activities,"5222, 5223",""
6970,523,FALSE,manual-dominant,"Securities, commodities, funds, trusts, and other financial investments","523, 525",525 (funds and trusts) has very little employment next to 523
6991,524,FALSE,auto,Insurance carriers,5241,""
6992,524,FALSE,auto,"Agencies, brokerages, and other insurance related activities",5242,""
7071,531,FALSE,auto,"Lessors of real estate, and offices of real estate agents and brokers","5311, 5312",""
7072,531,FALSE,auto,"Real estate property managers, offices of real estate appraisers, and other activities related to real estate",5313,""
7080,532,FALSE,auto,Automotive equipment rental and leasing,5321,""
7181,532,FALSE,auto,Other consumer goods rental,"53221, 532281, 532282, 532283, 532284, 532289, 5323",""
7190,532,FALSE,manual-dominant,"Commercial, industrial, and other intangible assets rental and leasing","5324, 533",5324 sits inside 532; 533 (lessors of intangibles) is tiny
7270,541,FALSE,auto,Legal services,5411,""
7280,541,FALSE,auto,"Accounting, tax preparation, bookkeeping, and payroll services",5412,""
7290,541,FALSE,auto,"Architectural, engineering, and related services",5413,""
7370,541,FALSE,auto,Specialized design services,5414,""
7380,541,FALSE,auto,Computer systems design and related services,5415,""
7390,541,FALSE,auto,"Management, scientific, and technical consulting services",5416,""
7460,541,FALSE,auto,Scientific research and development services,5417,""
7470,541,FALSE,auto,"Advertising, public relations, and related services",5418,""
7480,541,FALSE,auto,Veterinary services,54194,""
7490,541,FALSE,auto,"Other professional, scientific, and technical services",5419 exc. 54194,""
7570,551,FALSE,auto,Management of companies and enterprises,55,""
7580,561,FALSE,auto,Employment services,5613,""
7590,561,FALSE,auto,Business support services,5614,""
7670,561,FALSE,auto,Travel arrangements and reservation services,5615,""
7680,561,FALSE,auto,Investigation and security services,5616,""
7690,561,FALSE,auto,Services to buildings and dwellings (except cleaning during construction and immediately after construction),5617 exc. 56173,""
7770,561,FALSE,auto,Landscaping services,56173,""
7780,561,FALSE,auto,Other administrative and other support services,"5611, 5612, 5619",""
7790,562,FALSE,auto,Waste management and remediation services,562,""
7860,611,FALSE,auto,Elementary and secondary schools,6111,""
7870,611,FALSE,auto,"Colleges, universities, and professional schools, including junior colleges","6112, 6113",""
7880,611,FALSE,auto,"Business, technical, and trade schools and training","6114, 6115",""
7890,611,FALSE,auto,"Other schools and instruction, and educational support services","6116, 6117",""
7970,621,FALSE,auto,Offices of physicians,6211,""
7980,621,FALSE,auto,Offices of dentists,6212,""
7990,621,FALSE,auto,Offices of chiropractors,62131,""
8070,621,FALSE,auto,Offices of optometrists,62132,""
8080,621,FALSE,auto,Offices of other health practitioners,"6213 exc. 62131, 62132",""
8090,621,FALSE,auto,Outpatient care centers,6214,""
8170,621,FALSE,auto,Home health care services,6216,""
8180,621,FALSE,auto,Other health care services,"6215, 6219",""
8191,622,FALSE,auto,"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals","6221, 6223",""
8192,622,FALSE,auto,Psychiatric and substance abuse hospitals,6222,""
8270,623,FALSE,auto,Nursing care facilities (skilled nursing facilities),6231,""
8290,623,FALSE,auto,"Residential care facilities, except skilled nursing facilities","6232, 6233, 6239",""
8370,624,FALSE,auto,Individual and family services,6241,""
8380,624,FALSE,auto,"Community food and housing, and emergency services",6242,""
8390,624,FALSE,auto,Vocational rehabilitation services,6243,""
8470,624,FALSE,auto,Child day care services,6244,""
8561,711,FALSE,auto,Performing arts companies,7111,""
8562,711,FALSE,auto,Spectator sports,7112,""
8563,711,FALSE,auto,"Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures","7113, 7114",""
8564,711,FALSE,auto,"Independent artists, writers, and performers",7115,""
8570,712,FALSE,auto,"Museums, art galleries, historical sites, and similar institutions",712,""
8580,713,FALSE,auto,Bowling centers,71395,""
8590,713,FALSE,auto,"Other amusement, gambling, and recreation industries",713 exc. 71395,""
8660,721,FALSE,auto,Traveler accommodation,7211,""
8670,721,FALSE,auto,"Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps","7212, 7213",""
8680,722,FALSE,auto,Restaurants and other food services,722 exc. 7224,""
8690,722,FALSE,auto,"Drinking places, alcoholic beverages",7224,""
8770,811,FALSE,auto,Automotive repair and maintenance,8111 exc. 811192,""
8780,811,FALSE,auto,Car washes,811192,""
8790,811,FALSE,auto,Electronic and precision equipment repair and maintenance,8112,""
8870,811,FALSE,auto,Commercial and industrial machinery and equipment repair and maintenance,8113,""
8891,811,FALSE,auto,Personal and household goods repair and maintenance,8114,""
8970,812,FALSE,auto,Barber shops,812111,""
8980,812,FALSE,auto,Beauty salons,812112,""
8990,812,FALSE,auto,Nail salons and other personal care services,"812113, 81219",""
9070,812,FALSE,auto,Drycleaning and laundry services,8123,""
9080,812,FALSE,auto,"Funeral homes, and cemeteries and crematories",8122,""
9090,812,FALSE,auto,Other personal services,8129,""
9160,813,FALSE,auto,Religious organizations,8131,""
9170,813,FALSE,auto,"Civic, social, advocacy organizations, and grantmaking and giving services","8132, 8133, 8134",""
9180,813,FALSE,auto,Labor unions,81393,""
9190,813,FALSE,auto,"Business, professional, political, and similar organizations",8139 exc. 81393,""
9290,814,FALSE,auto,Private households,814,""
9370,921,FALSE,auto,Executive offices and legislative bodies,"92111, 92112, 92114, pt. 92115",""
9380,921,FALSE,auto,Public finance activities,92113,""
9390,921,FALSE,auto,Other general government and support,92119,""
9470,,TRUE,auto,"Justice, public order, and safety activities","922, pt. 92115",""
9480,923,FALSE,auto,Administration of human resource programs,923,""
9490,,TRUE,auto,Administration of environmental quality and housing programs,"924, 925",""
9570,,TRUE,auto,Administration of economic programs and space research,"926, 927",""
9590,928,FALSE,auto,National security and international affairs,928,""
9670,928,FALSE,auto,U. S. Army,928110,""
9680,928,FALSE,auto,U. S. Air Force,928110,""
9690,928,FALSE,auto,U. S. Navy,928110,""
9770,928,FALSE,auto,U. S. Marines,928110,""
9780,928,FALSE,auto,U. S. Coast Guard,928110,""
9790,928,FALSE,auto,"Armed Forces, Branch not specified",928110,""
9870,928,FALSE,auto,Military Reserves or National Guard,928110,""
