occ2010,estimate,p.value
4320,-0.02054790121757819,0.13291365484375436
4350,-0.0017778753130596719,0.8372428198527443
4410,-0.08300183362765022,0.19676278213995368
4420,0.021509452598919187,0.2936401549833937
4430,0.007820876397192075,0.4870149249350739
4465,-0.008997236062887243,0.7243747943449239
4500,0.02023745852615338,0.4536655184297761
4510,-0.005896456822275469,0.3900859069330036
4530,-7.056561139081829e-4,0.961309894581402
4540,0.03019847458534834,0.13416547703674192
4600,0.016551578889812093,0.0010130283355359803
4620,-0.001062583773928779,0.8961188636228369
4650,0.01755031690654934,0.2827886024418422
4700,0.010169928568770034,0.078435464844441
4720,0.00559783048721359,0.18047016290140344
4740,0.005547883861690113,0.6060804163039913
4750,0.05191749517559746,4.008468398838079e-4
4760,0.00538100599596497,0.25166108320008457
4800,0.010415125348905985,0.40643415381333237
4810,7.440110359852533e-4,0.8976868662943499
4820,0.019394393157069503,0.29785469021169003
4840,0.02349975971597142,0.022477256445732414
4850,0.012651267230650408,0.015785778236387746
4900,-0.0010487887605687596,0.9436425963833481
4920,0.04372647281116287,3.3579613502415575e-5
4930,0.04060426646473964,0.05792272682700863
4950,0.00804484120031004,0.5235478645106741
4965,-0.011513333131369695,0.5991747098144058
5000,-7.373283514178656e-4,0.887603472812977
5010,0.0019166290573832657,0.9461061202150908
5020,0.038946834203579334,0.07266730966545609
5100,-0.018112256200573773,0.2911430001229096
5110,-0.01572583410709455,0.12512468187480152
5120,0.007984717895446893,0.23263029673449648
5140,-0.002342785783165161,0.8294284628097108
5160,-0.014012726108004645,0.11597271755843923
5240,0.02264991324870492,0.0054995223048236105
5250,-0.013855701739825291,0.3853331469000423
5260,0.005424877232764516,0.734069312583068
5300,-0.003725921317940519,0.790381852159731
5310,-0.009088643076568507,0.538337967374394
5320,0.007816255459894101,0.45693894344350916
5350,0.007518399537232589,0.6971178054554968
5360,0.008353600757283523,0.8426357938537488
5400,0.01805104963685935,0.023883042690288448
5410,0.05431805240835364,0.0015692574421607248
5510,0.04400450554055667,0.01271091422161054
5520,0.010772937689375477,0.22000955757886295
5530,-0.015410647652421132,0.5036016319746335
5540,0.01682847803462902,0.177899490894749
5550,0.0019841246889723977,0.7632619114493955
5600,0.016202535330872164,0.14333947005936448
5610,0.012555921249324264,0.08115159726747724
5620,0.011107223838323334,0.004526125363387044
5630,-0.0010445224965189076,0.9529628256700837
5700,0.007528932650464219,0.15519330150672864
5800,0.02021314185205108,0.09397312891719145
5810,0.03209055717362711,0.01823079392681662
5820,0.009905478788384546,0.6771934020100434
5850,0.02449998462941006,0.04169397094592955
5860,0.01569307282894087,0.044029435392309184
5900,0.008483878065513255,0.5809340970260628
5910,0.06276582924134189,0.0728908774077667
5940,0.01777348397169361,0.2229872166657512
6005,0.0565467750334388,0.21829864262968052
6010,0.021556342688849196,0.7192776733006109
6050,0.05193569806648013,0.014975111427388693
6100,-0.11862076515332455,0.2255997692148311
6120,-0.16529289801788766,0.10162965760467982
6130,0.022160395129213768,0.27342459052004275
6200,0.027618255244740708,0.01403084082199674
6210,-0.0024883817138297245,0.9009911902150871
6220,0.04949958443742093,0.017635821036656788
6230,0.06519231909905325,4.963959379216672e-4
6240,0.04608555215197703,0.01458541898336602
6250,0.04775572966182291,0.030458094723886393
6260,0.04739032586865284,6.435177844479152e-4
6300,0.04269698616659497,0.09464596177537303
6320,0.015231927365013621,0.04321795396980151
6330,0.0819403516976257,8.845003948371717e-6
6355,0.042247674841015756,3.527142342425892e-5
6360,0.03294108171412637,0.08229003939611576
6400,0.058191276094969116,2.8663231791863417e-4
6420,0.044586789118954945,0.0029838917792140442
6440,0.04317585897503239,1.960047451495042e-5
6460,0.06929369809626981,0.03778439579535751
6515,0.03379483111199631,0.01098728534630397
6520,0.037053260585983454,0.008286655040306562
6530,0.03903454525003923,0.03058996231929324
6600,0.07317098649071985,0.001569768943742915
6660,0.028179829794313205,0.11771714523506041
6700,-0.01814632668682862,0.5285377704526807
6730,-0.0012232709931130124,0.9289328225434614
6800,-0.0022530351269072525,0.9497680898384142
6820,0.11691378989323399,8.87896977836864e-4
6830,-0.06293752816802431,0.19332188441964918
6840,-0.0036232239783789985,0.8516579325197451
6940,-0.02837359350386007,0.48974616636690105
7000,-3.3168703840878944e-4,0.9688497790065171
7010,0.01325141835714514,0.6150472376345246
7020,0.03134772172457413,0.08667797273566567
7040,-0.01178372169227369,0.6838964558441099
7140,0.017239002878612946,0.13553822405321722
7150,-0.02051506672984611,0.08751102835164795
7200,0.016427063285242145,0.00463040106812942
7210,0.023827386865451574,5.037502901708993e-4
7220,0.005802102687564432,0.5237586270582999
7240,0.024079283933893775,0.23283495359169923
7300,-0.012886362747978325,0.5160228658759333
7315,0.02727109699062228,6.219411463078712e-5
7320,0.004962898906842856,0.7877568908199387
7330,0.010756366037166162,0.15300393806893864
7340,0.023729082407626424,0.10425687698220895
7350,0.020143880139926223,0.5000638808083242
7360,0.028472177120067776,0.09261083603339737
