naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source
71,genaiexp_estz_core,0.173834236597893,-0.0834204372419277,273,72646586.6197,0.960084870628453,2,cps_occ_ind_2021_2022
72,genaiexp_estz_core,0.112160993132853,-0.395378478892734,278,242270570.6062,0.997474012756808,2,cps_occ_ind_2021_2022
81,genaiexp_estz_core,0.134572830170868,-0.282014037534315,333,169635985.6193,0.95831377464503,2,cps_occ_ind_2021_2022
92,genaiexp_estz_core,0.305589805635287,0.583030798078499,357,89662219.3513,0.9399228924221,2,cps_occ_ind_2021_2022
11,genaiexp_estz_total,0.106364226774313,-0.581803053574518,212,54301629.6502001,0.983531199253645,2,cps_occ_ind_2021_2022
21,genaiexp_estz_total,0.238089053963269,-0.0166918783454065,203,14394311.4548,0.993146819248091,2,cps_occ_ind_2021_2022
22,genaiexp_estz_total,0.303846172184467,0.265411982791989,236,31777432.5051,0.992006221791701,2,cps_occ_ind_2021_2022
31,genaiexp_estz_total,0.218784473380219,-0.0995102388124359,251,57284484.7982,0.940067480499799,2,cps_occ_ind_2021_2022
32,genaiexp_estz_total,0.277664287848147,0.153089380115226,314,89878078.9313,0.989572446397588,2,cps_occ_ind_2021_2022
33,genaiexp_estz_total,0.28636174018616,0.190402220960206,355,196856231.0582,0.989401118792064,2,cps_occ_ind_2021_2022
42,genaiexp_estz_total,0.362595050835245,0.517449875467375,290,76108067.9877,0.979247157429815,2,cps_occ_ind_2021_2022
44,genaiexp_estz_total,0.233314677918478,-0.0371743744339182,331,250402484.2225,0.985360040699471,2,cps_occ_ind_2021_2022
45,genaiexp_estz_total,0.239257768450208,-0.0116779896858732,290,121388084.7104,0.968804931758825,2,cps_occ_ind_2021_2022
48,genaiexp_estz_total,0.177733072908469,-0.275624382671696,273,119681385.7299,0.982993693220035,2,cps_occ_ind_2021_2022
49,genaiexp_estz_total,0.210333110378309,-0.135767334609924,210,78869250.5145,0.994527398356905,2,cps_occ_ind_2021_2022
51,genaiexp_estz_total,0.418112592923384,0.755625048096416,251,66527956.6479,0.990411224493961,2,cps_occ_ind_2021_2022
52,genaiexp_estz_total,0.460060663406537,0.935585985720754,274,181417816.5401,0.988317274873097,2,cps_occ_ind_2021_2022
53,genaiexp_estz_total,0.323346907400215,0.349071864006296,238,75911608.2154,0.974879062369595,2,cps_occ_ind_2021_2022
54,genaiexp_estz_total,0.474840007003696,0.998990678727673,359,316003884.9392,0.990673460753455,2,cps_occ_ind_2021_2022
55,genaiexp_estz_total,0.463583077575615,0.950697454478843,70,1939093.3916,0.976903023898706,2,cps_occ_ind_2021_2022
56,genaiexp_estz_total,0.210922854606645,-0.133237279637967,343,157159261.0013,0.988413101534547,2,cps_occ_ind_2021_2022
61,genaiexp_estz_total,0.262080696684212,0.0862343938163388,329,326622668.322399,0.992346315386463,2,cps_occ_ind_2021_2022
62,genaiexp_estz_total,0.228304533790175,-0.0586683364821697,340,476470186.4146,0.927716756270876,2,cps_occ_ind_2021_2022
71,genaiexp_estz_total,0.228561002495544,-0.0575680630212511,273,72646586.6197,0.960084870628453,2,cps_occ_ind_2021_2022
72,genaiexp_estz_total,0.151385373529073,-0.388658346569142,278,242270570.6062,0.997474012756808,2,cps_occ_ind_2021_2022
81,genaiexp_estz_total,0.180571330438135,-0.263448006490978,333,169635985.6193,0.95831377464503,2,cps_occ_ind_2021_2022
92,genaiexp_estz_total,0.383728126424209,0.608112641455703,357,89662219.3513,0.9399228924221,2,cps_occ_ind_2021_2022
11,human_rating_beta,0.188567482519466,-0.487721762673809,212,54301629.6502001,0.983531199253645,2,cps_occ_ind_2021_2022
21,human_rating_beta,0.27194060887817,-0.0861460975278412,203,14394311.4548,0.993146819248091,2,cps_occ_ind_2021_2022
22,human_rating_beta,0.311120237252707,0.102566812876695,236,31777432.5051,0.992006221791701,2,cps_occ_ind_2021_2022
31,human_rating_beta,0.230385008562903,-0.286303133325519,251,57284484.7982,0.940067480499799,2,cps_occ_ind_2021_2022
32,human_rating_beta,0.277246759910085,-0.0605884481620448,314,89878078.9313,0.989572446397588,2,cps_occ_ind_2021_2022
33,human_rating_beta,0.287185840641078,-0.0127157926697203,355,196856231.0582,0.989401118792064,2,cps_occ_ind_2021_2022
42,human_rating_beta,0.392841436612283,0.496185793267999,290,76108067.9877,0.979247157429815,2,cps_occ_ind_2021_2022
44,human_rating_beta,0.326687427396003,0.177547865036741,331,250402484.2225,0.985360040699471,2,cps_occ_ind_2021_2022
45,human_rating_beta,0.337913955370648,0.231621649187538,290,121388084.7104,0.968804931758825,2,cps_occ_ind_2021_2022
