naics,metric,exposure,exposure_z,n_occ,emp,score_coverage,level,weight_source,thin
512,ai_applicability_score,0.199873084977803,0.317610984428533,136,12878624.8836,0.985383916460397,3,cps_occ_ind_2021_2022,FALSE
515,ai_applicability_score,0.253311422050926,0.848037097131975,125,8082532.0499,0.989851611329221,3,cps_occ_ind_2021_2022,FALSE
517,ai_applicability_score,0.248642165806163,0.801690306143003,168,20555535.6209,0.995120396082779,3,cps_occ_ind_2021_2022,FALSE
518,ai_applicability_score,0.269440481121864,1.00813328599457,86,3136386.6716,0.985074322633401,3,cps_occ_ind_2021_2022,FALSE
519,ai_applicability_score,0.25062898063323,0.821411325229742,123,11680971.5689,0.98540484958113,3,cps_occ_ind_2021_2022,FALSE
522,ai_applicability_score,0.242152841919826,0.737277619827689,227,80230470.8166,0.983292828799233,3,cps_occ_ind_2021_2022,FALSE
523,ai_applicability_score,0.259590223924133,0.910360153058711,168,33921623.4494,0.986483320443422,3,cps_occ_ind_2021_2022,FALSE
524,ai_applicability_score,0.233572673225313,0.652111318325031,200,67265722.2741,0.995316541325733,3,cps_occ_ind_2021_2022,FALSE
531,ai_applicability_score,0.210713378648073,0.425211167125404,217,68559405.6685,0.977249551777365,3,cps_occ_ind_2021_2022,FALSE
532,ai_applicability_score,0.208341220095162,0.401665246558771,121,7352202.5469,0.953315584226869,3,cps_occ_ind_2021_2022,FALSE
541,ai_applicability_score,0.2332741665387,0.649148356712292,359,316003884.9392,0.990673460753455,3,cps_occ_ind_2021_2022,FALSE
551,ai_applicability_score,0.222875768905374,0.545934410749824,70,1939093.3916,0.976903023898706,3,cps_occ_ind_2021_2022,FALSE
561,ai_applicability_score,0.147196125911784,-0.205257730370598,338,145462311.4168,0.988225078454135,3,cps_occ_ind_2021_2022,FALSE
562,ai_applicability_score,0.13857302354242,-0.290850189263299,121,11696949.5845,0.990757332801496,3,cps_occ_ind_2021_2022,FALSE
611,ai_applicability_score,0.213214196991057,0.450034157976176,329,326622668.322399,0.992346315386463,3,cps_occ_ind_2021_2022,FALSE
621,ai_applicability_score,0.144752670297776,-0.229511341801804,292,189179089.3787,0.925562306211388,3,cps_occ_ind_2021_2022,FALSE
622,ai_applicability_score,0.143369960699941,-0.243236044274749,290,170693347.3137,0.966700810982883,3,cps_occ_ind_2021_2022,FALSE
623,ai_applicability_score,0.114658248031888,-0.528226988486466,194,46779456.3134,0.880432888520817,3,cps_occ_ind_2021_2022,FALSE
624,ai_applicability_score,0.193338077927614,0.2527448494405,211,69818293.4088,0.878268876847008,3,cps_occ_ind_2021_2022,FALSE
711,ai_applicability_score,0.222643130953984,0.543625258725609,154,19424719.4337,0.94518350760015,3,cps_occ_ind_2021_2022,FALSE
712,ai_applicability_score,0.205119324520808,0.369684881176094,149,8528541.8115,0.948041790528746,3,cps_occ_ind_2021_2022,FALSE
713,ai_applicability_score,0.201576372596434,0.334517727412131,231,44693325.3745,0.96907412428119,3,cps_occ_ind_2021_2022,FALSE
721,ai_applicability_score,0.159931143064043,-0.0788506224165965,183,27635261.9845,0.989970682333328,3,cps_occ_ind_2021_2022,FALSE
722,ai_applicability_score,0.196772486118917,0.286834603840175,245,214635308.6217,0.998448373484919,3,cps_occ_ind_2021_2022,FALSE
811,ai_applicability_score,0.126525840910639,-0.410429888078772,174,52508494.2182,0.996209340122909,3,cps_occ_ind_2021_2022,FALSE
812,ai_applicability_score,0.144263763151758,-0.23436420832309,192,58676913.5013,0.969894087365974,3,cps_occ_ind_2021_2022,FALSE
813,ai_applicability_score,0.221056835981833,0.527879778574761,262,45381457.81,0.945630782366706,3,cps_occ_ind_2021_2022,FALSE
814,ai_applicability_score,0.0776818975898092,-0.895252290941402,38,13069120.0898,0.826226581459929,3,cps_occ_ind_2021_2022,FALSE
921,ai_applicability_score,0.213674989471483,0.454607959811006,294,37636360.1353,0.964341120107434,3,cps_occ_ind_2021_2022,FALSE
923,ai_applicability_score,0.209270551244201,0.410889738483441,230,27647759.1362,0.880165591328379,3,cps_occ_ind_2021_2022,FALSE
928,ai_applicability_score,0.202062127574837,0.339339305684081,284,24378100.0798,0.97695635941712,3,cps_occ_ind_2021_2022,FALSE
111,dv_rating_beta,0.277343883854905,-0.258322847097539,146,28827024.2646,0.995963817668366,3,cps_occ_ind_2021_2022,FALSE
112,dv_rating_beta,0.290864638610175,-0.199120473174358,92,18293571.5055,0.995502947354588,3,cps_occ_ind_2021_2022,FALSE
113,dv_rating_beta,0.266610114492718,-0.305322044915083,82,3162551.2108,0.993972335910891,3,cps_occ_ind_2021_2022,FALSE
114,dv_rating_beta,0.396875363156022,0.265061199227079,33,379574.5521,0.366116512276229,3,cps_occ_ind_2021_2022,FALSE
115,dv_rating_beta,0.274165206012577,-0.272241099266824,86,3638908.1172,0.990896019770628,3,cps_occ_ind_2021_2022,FALSE
211,dv_rating_beta,0.393060860641465,0.248358906471588,78,1508460.1883,1,3,cps_occ_ind_2021_2022,FALSE
212,dv_rating_beta,0.252351793495184,-0.367753948051542,120,3846891.2333,0.992516321079464,3,cps_occ_ind_2021_2022,FALSE
213,dv_rating_beta,0.330751209218085,-0.0244719635027657,172,9038960.0332,0.992280230136722,3,cps_occ_ind_2021_2022,FALSE
221,dv_rating_beta,0.366421317139837,0.131714218798987,236,31777432.5051,0.992006221791701,3,cps_occ_ind_2021_2022,FALSE
311,dv_rating_beta,0.269427423658931,-0.292986092245699,208,38525420.8235,0.923672733357734,3,cps_occ_ind_2021_2022,FALSE
312,dv_rating_beta,0.342903986879341,0.0287405457343073,115,8045371.2322,0.956409455111909,3,cps_occ_ind_2021_2022,FALSE
313,dv_rating_beta,0.282265004787176,-0.236775082433001,63,1959576.2656,0.997530393216123,3,cps_occ_ind_2021_2022,FALSE
314,dv_rating_beta,0.284235300636874,-0.228147887151049,76,2787950.2929,0.991368628844364,3,cps_occ_ind_2021_2022,FALSE
315,dv_rating_beta,0.26759370852472,-0.301015251194968,83,4797103.1916,0.995555545276325,3,cps_occ_ind_2021_2022,FALSE
316,dv_rating_beta,0.338284088917932,0.00851172481795434,50,1169062.9924,0.957943558614429,3,cps_occ_ind_2021_2022,FALSE
321,dv_rating_beta,0.248851853373131,-0.383078888675417,132,9919432.5212,0.987190770544707,3,cps_occ_ind_2021_2022,FALSE
322,dv_rating_beta,0.293098617235155,-0.18933870874727,123,8272730.4197,0.990297889959213,3,cps_occ_ind_2021_2022,FALSE
323,dv_rating_beta,0.393735829690776,0.2513143457771,120,10297810.1368,0.991285636779438,3,cps_occ_ind_2021_2022,FALSE
324,dv_rating_beta,0.369954045590567,0.147182727361916,136,4679035.5895,0.991175890564411,3,cps_occ_ind_2021_2022,FALSE
325,dv_rating_beta,0.3964685006856,0.26327969926312,244,34577349.8149,0.98610656233762,3,cps_occ_ind_2021_2022,FALSE
326,dv_rating_beta,0.291063638031373,-0.198249128463393,141,12268439.5025,0.994587733144105,3,cps_occ_ind_2021_2022,FALSE
327,dv_rating_beta,0.298106543208736,-0.167410856979085,145,9863280.94670001,0.994834401980015,3,cps_occ_ind_2021_2022,FALSE
331,dv_rating_beta,0.276749869856109,-0.260923814240935,136,10493318.2801,0.996603850909359,3,cps_occ_ind_2021_2022,FALSE
332,dv_rating_beta,0.294363980134319,-0.183798153588868,168,26851333.428,0.99295025848039,3,cps_occ_ind_2021_2022,FALSE
333,dv_rating_beta,0.343247278386386,0.0302436920107219,195,28347412.3885,0.989526519670934,3,cps_occ_ind_2021_2022,FALSE
334,dv_rating_beta,0.477234205583274,0.616922787098727,180,24209928.3305,0.990124203455951,3,cps_occ_ind_2021_2022,FALSE
