occ2010,cyclicality_beta,cyclicality_p
1550,0.0335338020281852,0.000389837936409639
1560,0.051010981350316,0.0185955698722851
1600,0.0314247077990147,0.166710969379714
1610,-0.0023364884598331,0.8429435884183
1640,-0.0336237568576075,0.165338231637531
1650,0.0163676454701547,0.324414797435271
1700,0.110470989967942,0.000102061859772576
1710,0.0196513438461842,0.605780907630118
1720,0.00667482891895643,0.615286698138713
1740,0.0241535665483924,0.0389586650292429
1760,0.0290312525975142,0.109914858329847
1800,-0.0287103086617672,0.292866946812139
1820,0.014018730036817,0.360918457868936
1840,0.0616066799247718,0.00692964383669519
1860,-0.0415458992374899,0.0752255019639167
1900,-0.02576784033475,0.280994018089106
1910,0.0363204240111076,0.152765263885478
1920,0.0260505023680608,0.111878998771918
1930,-0.0371566374038198,0.343006442143987
1965,0.00446085962961946,0.785476417002249
2000,-0.00174780316260726,0.820947355279057
2010,0.0027651470061256,0.572633016264818
2016,0.0131293671305502,0.35282549008068
2040,-0.00468440660198461,0.431636345349582
2050,-0.0025673896980653,0.905336639648346
2060,0.0207074905194962,0.448740115635522
2100,0.00806664653045298,0.0884736540759474
2145,0.0186105052460873,0.0625319686133743
2160,-0.00946720502904984,0.62413030937166
2200,-4.19624740667655e-06,0.999164358128648
2300,0.00428961093404691,0.563653841662554
2310,0.00964891669580468,0.072610819226664
2320,-0.00577850168193039,0.28319720621164
2330,0.0101963185690512,0.31762316063781
2340,0.00963360651339948,0.077632087329978
2400,0.0314959743555834,0.110631948290768
2430,0.0134787366725565,0.1967192650326
2440,-0.0213878144536957,0.306817302048854
2540,-0.00153682955840074,0.817234486430855
2550,-0.0215376775623686,0.348721618827727
2600,0.0348779225818012,0.00847398260656458
2630,0.0313450470748616,0.00221303238264507
2700,0.0167691191103009,0.591316311116695
2710,0.00880424660707545,0.585338833535216
2720,0.0244328273499758,0.0223060083325545
2740,0.109875982293505,3.34642388865562e-06
2750,0.00711055747210317,0.58624752869443
2760,0.0169568750998652,0.623488881997894
2800,0.0284106486760384,0.11212581408491
2810,0.0173659611455804,0.279928529568494
2825,0.00838881252962801,0.564658805343079
2830,0.00262752982695768,0.733197931023977
2840,0.00749736595483642,0.605246667563097
2850,0.0225873943843608,0.122348203418638
2860,-0.00437683111337728,0.801624393357293
2900,-0.0053804893612305,0.74704692682214
2910,-0.0121066138957092,0.425881888772117
2920,-0.0548928977757475,0.0670208030244694
3000,0.00765662629168637,0.824213145747177
3010,-0.00476729944179622,0.849095567164255
3030,-0.000339351338006601,0.98225363921789
3040,0.0535571534230684,0.0772653239657496
3050,0.0104035414689583,0.136720614455719
3060,0.00953987055327552,0.0859695565512149
3110,0.00680661984690082,0.779554360740959
3120,0.0454302222678452,0.624547121115634
3140,0.00765285851538534,0.824563967233325
3150,-0.0267604833690095,0.0422782198331506
3160,0.0224816832203687,0.0890942807991866
3200,-0.00712922816729341,0.796686665227868
3210,0.0141117126298143,0.612278759830407
3220,-0.0359887556386361,0.0133557583164137
3230,-0.000573444477746722,0.949349078877464
3245,0.00902363082494921,0.533086587512918
3250,0.008870763715311,0.727536249535914
3255,-0.00392468659525152,0.0955023060759724
3260,-0.00957144518656706,0.886371364846282
3300,-0.00514237180995365,0.538890843762924
3310,0.0128657963991191,0.162601767676142
3320,-0.016401780882416,0.086125480720168
3400,0.00493021535627033,0.655816817843934
3420,0.002042267400636,0.653760882631165
3500,-0.00846972253833344,0.27470531964557
3510,0.0158455863219341,0.485621640805299
3520,0.00984038297408686,0.450307212970316
3535,-0.0189173372501214,0.128604561146276
3540,0.0426447468303243,0.0189170932376016
3600,-0.00311978785329034,0.619932198592385
3610,0.00213648412617733,0.961014316604794
3620,-0.0130446436957617,0.309480394388411
3630,-0.0327118243335625,0.0186840803880915
3640,-0.00160139832291949,0.800573219408328
3645,0.00722185210203653,0.229190022588039
3700,0.00799348238950176,0.735826218763693
3710,0.00368231498021716,0.823901996517499
3720,-0.0244374117269495,0.196094885371027
3730,-0.0279380894987217,0.100711244408229
3740,-0.00721958766167319,0.376404675331276
3750,0.0330610872556611,0.179974574709731
3800,0.000276697707346571,0.978518668495549
3820,-0.0050908719323851,0.714302817214605
3840,-0.0513068698603396,0.272943052891494
3850,0.00176214213895666,0.66509131565162
3900,0.00110497881572751,0.983896371617636
3910,0.0211173592369792,0.152027644479907
3930,-0.0104050218710509,0.0140556781062592
3940,-0.0327226313091781,0.0314443901470921
3955,-0.0247417924540873,0.0323774652305525
4000,0.00277302693247417,0.700534078951945
4010,0.00726485156704887,0.491996451933436
4020,-0.00244283429208978,0.459869052931451
4030,0.00441178036437838,0.467279696129516
4040,0.00771324888841604,0.224708094275214
4050,-0.00598155273857158,0.694024525417724
4060,0.0134338373474614,0.344018020151236
4110,-0.00200744907814602,0.537865054482053
4120,-0.0063879286840608,0.664370304317138
4130,0.0114829707041764,0.42969384260565
4140,0.0057852166520308,0.515428481028041
4150,0.00922296475414526,0.244495023046645
4200,0.0131571198531934,0.241857710729148
4210,0.00573988917844132,0.68267096618843
4220,0.00153216102300896,0.694962115204311
4230,0.00964427761519001,0.0193273238977897
4240,0.0379462416887226,0.0368929916362798
4250,0.014620594633841,0.075638828978878
4300,0.0201701068080997,0.163453767766222
4320,-0.0205479012175782,0.132913654843754
4340,0.0316562382891522,0.370801758377355
4350,-0.00177787531305967,0.837242819852744
4400,-0.017479311390538,0.140489717560946
4410,-0.0830018336276502,0.196762782139954
4420,0.0215094525989192,0.293640154983394
4430,0.00782087639719208,0.487014924935074
4460,0.0333373655445789,0.402140845883513
