occ2010,metric,value,z,pctile
7010,ai_applicability_score,0.159196187575634,-0.0861457517952169,0.538116591928251
7020,ai_applicability_score,0.192191574281996,0.241364714779621,0.643497757847534
7030,ai_applicability_score,0.153263915761793,-0.145029168646495,0.506726457399103
7040,ai_applicability_score,0.123025653141599,-0.445172567094468,0.405829596412556
7100,ai_applicability_score,0.164597246167314,-0.0325351293436263,0.556053811659193
7110,ai_applicability_score,0.103607585481252,-0.637915281584181,0.318385650224215
7120,ai_applicability_score,0.123895971979947,-0.436533828250366,0.408071748878924
7130,ai_applicability_score,0.18087212734758,0.129008482078005,0.614349775784753
7140,ai_applicability_score,0.0691172794291401,-0.98026423866606,0.170403587443946
7150,ai_applicability_score,0.0873416052806276,-0.799370542351787,0.251121076233184
7160,ai_applicability_score,0.025389244091884,-1.41430640895966,0.0358744394618834
7200,ai_applicability_score,0.127513587014304,-0.400625572398289,0.42152466367713
7210,ai_applicability_score,0.109021505813012,-0.584176994179544,0.336322869955157
7220,ai_applicability_score,0.0851817257542177,-0.820809392507878,0.237668161434978
7240,ai_applicability_score,0.058197773793468,-1.0886506751498,0.132286995515695
7260,ai_applicability_score,0.0529135827166611,-1.14110127681837,0.100896860986547
7300,ai_applicability_score,0.127050811196435,-0.405219060735872,0.417040358744395
7315,ai_applicability_score,0.12230769293999,-0.452299002153517,0.399103139013453
7320,ai_applicability_score,0.122377697694601,-0.451604138654896,0.401345291479821
7330,ai_applicability_score,0.109525237738808,-0.5791769776768,0.338565022421525
7340,ai_applicability_score,0.086731789097531,-0.805423545592157,0.244394618834081
7350,ai_applicability_score,0.112171694415995,-0.55290838840918,0.347533632286996
7360,ai_applicability_score,0.0749637418212238,-0.922232561605145,0.192825112107623
7410,ai_applicability_score,0.111648706326247,-0.558099540578749,0.345291479820628
7420,ai_applicability_score,0.165781236032605,-0.0207829084452255,0.558295964125561
7430,ai_applicability_score,0.169433368172006,0.015467962369319,0.571748878923767
7510,ai_applicability_score,0.0832884709720922,-0.839601739527693,0.221973094170404
7540,ai_applicability_score,0.0430189768853844,-1.23931461194957,0.0672645739910314
7560,ai_applicability_score,0.176301487805428,0.0836405552730432,0.596412556053812
7610,ai_applicability_score,0.0625113344294359,-1.04583449999607,0.143497757847534
7630,ai_applicability_score,0.121249418913942,-0.462803374268303,0.387892376681614
7700,ai_applicability_score,0.250194443962888,0.817098137179727,0.780269058295964
7710,ai_applicability_score,0.053736284478856,-1.13293518255839,0.109865470852018
7720,ai_applicability_score,0.0823189516738777,-0.849225136899494,0.217488789237668
7730,ai_applicability_score,0.117316150128937,-0.501844792585519,0.36322869955157
7740,ai_applicability_score,0.0463502419787662,-1.20624865049479,0.0829596412556054
7750,ai_applicability_score,0.0678077082183073,-0.993262973370694,0.165919282511211
7800,ai_applicability_score,0.0905418484383246,-0.767605097713789,0.26457399103139
7810,ai_applicability_score,0.17359048509727,0.0567312855094874,0.585201793721973
7830,ai_applicability_score,0.0639286067182724,-1.03176673007686,0.150224215246637
7840,ai_applicability_score,0.0824150247690521,-0.848271520428625,0.219730941704036
7850,ai_applicability_score,0.0926290853267721,-0.746887294547207,0.273542600896861
7900,ai_applicability_score,0.253214325963767,0.847073326496663,0.786995515695067
7920,ai_applicability_score,0.138591522607346,-0.290666568521428,0.457399103139013
7950,ai_applicability_score,0.106707883732127,-0.607141884815063,0.327354260089686
8030,ai_applicability_score,0.169340592985951,0.0145470807702673,0.567264573991031
8040,ai_applicability_score,0.0724818594910382,-0.946867594592535,0.181614349775785
8100,ai_applicability_score,0.0836314969038578,-0.836196882237806,0.226457399103139
